acousticness,activity,album,artists,danceability,duration_ms,energy,explicit,from_playlist_id,href,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,valence
0.156,workout,Nevermind,Dennis Lloyd,0.592,156600.0,0.691,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,63SevszngYpZOwf63o61K4,9.78e-06,3.0,0.418,-8.354,1.0,Nevermind,91,2017-06-30,0.196,99.976,4.0,0.0796
0.0733,workout,No Brainer,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",0.552,260000.0,0.76,True,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,5WvAo7DNuPRmk4APhdPzi8,0.0,0.0,0.0865,-4.706,1.0,No Brainer,95,2018-07-27,0.342,135.702,5.0,0.639
0.0805,workout,Red Pill Blues (Deluxe),"Maroon 5, SZA",0.792,199849.0,0.612,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/4nYsmWkuTaowTMy4gskmBw,4nYsmWkuTaowTMy4gskmBw,3.83e-06,5.0,0.0852,-5.212,0.0,What Lovers Do (feat. SZA),54,2017-11-03,0.0693,109.959,4.0,0.42
0.171,workout,The Middle,"Zedd, Maren Morris, Grey",0.753,184732.0,0.657,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,09IStsImFySgyp0pIQdqAc,0.0,7.0,0.112,-3.061,1.0,The Middle,88,2018-01-23,0.0449,107.01,4.0,0.437
0.0956,workout,Love Lies (with Normani),"Khalid, Normani",0.708,201707.0,0.648,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,45Egmo7icyopuzJN0oMEdk,0.0,6.0,0.134,-5.626,1.0,Love Lies (with Normani),87,2018-02-14,0.0449,143.955,4.0,0.338
0.0284,workout,All The Stars (with SZA),"Kendrick Lamar, SZA",0.7,235540.0,0.615,True,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/66kQ7wr4d2LwwSjr7HXcyr,66kQ7wr4d2LwwSjr7HXcyr,0.0133,8.0,0.0843,-5.387,1.0,All The Stars (with SZA),67,2018-01-04,0.0619,96.84,4.0,0.449
0.134,workout,AVĪCI (01),"Avicii, Rita Ora",0.655,181812.0,0.666,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/2OALaHcDdKkjYEpAr0Qzab,2OALaHcDdKkjYEpAr0Qzab,2.12e-05,5.0,0.0683,-5.309,1.0,Lonely Together (feat. Rita Ora),60,2017-08-09,0.0612,102.977,4.0,0.272
0.3,workout,Born To Be Yours,"Kygo, Imagine Dragons",0.688,193321.0,0.688,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/0kHyKhJMukHEPfeh8s7rdM,0kHyKhJMukHEPfeh8s7rdM,0.0,3.0,0.0982,-5.84,1.0,Born To Be Yours,88,2018-06-15,0.0357,114.011,4.0,0.451
0.323,workout,Rise,"Jonas Blue, Jack & Jack",0.69,194408.0,0.784,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3,3u1S1OmAUhx5DRlLrXqyp3,0.0,1.0,0.203,-4.653,1.0,Rise,94,2018-05-25,0.032,106.066,4.0,0.669
0.0228,workout,I'll Be There,Jess Glynne,0.623,193924.0,0.851,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn,083Qf6hn6sFL6xiOHlZUyn,0.0,7.0,0.12,-3.111,1.0,I'll Be There,84,2018-05-03,0.0409,100.063,4.0,0.4
0.0476,workout,Body (feat. brando),"Loud Luxury, brando",0.752,163216.0,0.764,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/7K7MUBCnzgBAvMVW2RTWNs,7K7MUBCnzgBAvMVW2RTWNs,9.44e-05,1.0,0.0543,-4.399,1.0,Body (feat. brando),72,2017-10-27,0.038,121.958,4.0,0.582
0.0661,workout,Uncovered,Robin Schulz,0.727,197627.0,0.598,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/77VLYTyrdlHEWcjhjQoXlz,77VLYTyrdlHEWcjhjQoXlz,1.07e-05,8.0,0.0975,-8.425,1.0,Oh Child,66,2017-09-29,0.0515,97.037,4.0,0.683
0.037,workout,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",0.791,214847.0,0.862,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,2.19e-05,9.0,0.0814,-3.24,0.0,One Kiss (with Dua Lipa),94,2018-04-06,0.11,123.994,4.0,0.592
0.0233,workout,Tip Toe (feat. French Montana),"Jason Derulo, French Montana",0.845,187521.0,0.709,False,37i9dQZF1DX70RN3TfWWJh,https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6,2z4pcBLQXF2BXKFvd0BuB6,0.0,10.0,0.094,-4.547,0.0,Tip Toe (feat. French Montana),78,2017-11-10,0.0714,98.062,4.0,0.62
